year,month,day,extended_event,country,region,province_state,city,vicinity_area,criteria_political,criteria_economic,criteria_religious,multiple_attacks,successful_attack,suicide_attack,primary_attack_type,primary_target_type,primary_target_subtype,target_nationality,secondary_target_type,group_name,individual_attack,attack_claimed,claim_mode,primary_weapon_type,secondary_weapon_type,secondary_weapon_subtype,num_killed,num_killed_us,num_killed_terrorists,num_wounded,num_wounded_us,num_wounded_terrorists,property_damage,property_extent_code,property_extent,property_value,hostage_incident,ransom_demanded,hostage_outcome_code,hostage_outcome,num_released,month_name
1980,7,15,0,Egypt,Middle East & North Africa,Ismailia,Ismailia,0,1,1,1,0.0,0,0,Assassination,Government (General),Head of State,Egypt,Unknown,Egyptian Revolutionary Organization,0,0.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1980,11,10,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Government (General),"Government Personnel (excluding police, military)",Iran,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,November
1981,3,1,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Hostage Taking (Kidnapping),Airports & Aircraft,Aircraft (not at an airport),Egypt,Unknown,Japanese Red Army (JRA),0,0.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,1.0,0.0,Unknown,Unknown,0.0,March
1981,4,6,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,United States,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1981,4,6,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1981,4,6,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,Israel,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1981,8,2,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Egypt,Unknown,Arab Steadfastness Front,0,0.0,Unknown,Explosives,Unknown,Unknown,3.0,0.0,0.0,56.0,0.0,0.0,1,4.0,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1981,9,15,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Unknown,Airports & Aircraft,Airport,Egypt,Unknown,Japanese Red Army (JRA),0,0.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
1981,10,6,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Unknown,Unknown,Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Unknown,Unknown,Unknown,8.0,0.0,0.0,30.0,4.0,1.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1981,10,7,0,Egypt,Middle East & North Africa,Asyut,Asyut,0,1,1,1,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Explosives,Grenade,54.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1981,10,13,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),Malta,Unknown,Libyan,0,0.0,Unknown,Explosives,Unknown,Unknown,2.0,0.0,0.0,3.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1982,9,24,0,Egypt,Middle East & North Africa,Giza,Giza,0,1,1,1,0.0,1,0,Armed Assault,Tourists,Tour Bus/Van,Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Firearms,Melee,Knife or Other Sharp Object,0.0,0.0,0.0,3.0,0.0,0.0,1,4.0,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,September
1985,8,20,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Israel,Unknown,Egypt's Revolution,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1985,10,7,0,Egypt,Middle East & North Africa,Alexandria,Alexandria,0,1,1,1,0.0,1,0,Hijacking,Maritime,Commercial Maritime,Italy,Unknown,Palestine Liberation Front (PLF),0,0.0,Unknown,Firearms,Explosives,Grenade,1.0,1.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,1.0,0.0,6.0,Combination,0.0,October
1986,3,19,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Israel,Unknown,Egypt's Revolution,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,3.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,March
1986,3,19,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Private Citizens & Property,Laborer (General)/Occupation Identified,Israel,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,3.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,March
1986,6,23,0,Egypt,Middle East & North Africa,Cairo,Cairo,1,1,1,1,0.0,1,0,Bombing/Explosion,Private Citizens & Property,Vehicles/Transportation,Egypt,Unknown,Hezbollah,0,0.0,Unknown,Explosives,Unknown,Unknown,10.0,0.0,0.0,15.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1986,11,18,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,United States,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,November
1987,5,7,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Government (General),Government Building/Facility/Office,Egypt,Unknown,Islamist extremists,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1987,5,27,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Armed Assault,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",United States,Unknown,Egypt's Revolution,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,2.0,0.0,1,3.0,Minor (likely < $1 million),2000.0,0.0,0.0,Unknown,Unknown,0.0,May
1987,5,27,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1987,6,3,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Journalists & Media,Newspaper Journalist/Staff/Facility,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1987,8,13,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (General),"Government Personnel (excluding police, military)",Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1987,8,14,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Security Forces/Officers,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,3.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1987,8,26,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),20000.0,0.0,0.0,Unknown,Unknown,0.0,August
1988,1,26,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),1000.0,0.0,0.0,Unknown,Unknown,0.0,January
1988,3,4,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,United States,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,March
1988,6,30,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Kuwait,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1988,8,1,0,Egypt,Middle East & North Africa,Sohag,Sohag,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1988,8,29,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,15.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1988,10,24,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Bombing/Explosion,Business,Restaurant/Bar/Café,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1988,12,8,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,December
1988,12,8,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Melee,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,December
1988,12,19,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Unknown,0,0.0,Unknown,Melee,Firearms,Handgun,0.0,0.0,0.0,1.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,December
1989,1,17,0,Egypt,Middle East & North Africa,Minya,Minya,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Firearms,Incendiary,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,January
1989,4,13,0,Egypt,Middle East & North Africa,Faiyum,Faiyum,0,1,1,1,0.0,1,0,Bombing/Explosion,Government (General),Unknown,Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1989,5,13,0,Egypt,Middle East & North Africa,Faiyum,Faiyum,0,1,1,1,0.0,1,0,Bombing/Explosion,Business,Entertainment/Cultural/Stadium/Casino,Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1989,6,3,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,Great Britain,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1989,6,3,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,United States,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1989,8,8,0,Egypt,Middle East & North Africa,Al Sharqia,Mahmoudeya,0,1,1,1,0.0,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Egypt,Unknown,Muslim Militants,0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1989,12,16,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Government (General),"Government Personnel (excluding police, military)",Egypt,Unknown,Islamist extremists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,December
1990,1,30,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,January
1990,2,4,0,Egypt,Middle East & North Africa,Cairo,Cairo,1,1,1,1,0.0,1,0,Bombing/Explosion,Tourists,Tour Bus/Van,Egypt,Unknown,Organization for the oppresed in Egypt's Prisons,0,0.0,Unknown,Firearms,Explosives,Grenade,11.0,0.0,0.0,16.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,February
1990,2,9,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (General),Head of State,Egypt,Unknown,Unknown,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,February
1990,2,9,0,Egypt,Middle East & North Africa,Asyut,Asyut,0,1,1,1,0.0,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Egypt,Unknown,Muslim Militants,0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,February
1990,3,24,0,Egypt,Middle East & North Africa,Faiyum,Faiyum,0,1,1,1,0.0,1,0,Bombing/Explosion,Business,Medical/Pharmaceutical,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,3.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,March
1990,4,19,0,Egypt,Middle East & North Africa,Faiyum,Sinnuris,0,1,1,1,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,1.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,April
1990,5,26,0,Egypt,Middle East & North Africa,Qena,Unknown,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Egypt,Unknown,Muslim Militants,0,0.0,Unknown,Incendiary,Unknown,Unknown,0.0,0.0,0.0,4.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1990,7,14,0,Egypt,Middle East & North Africa,Red Sea,Hurghada,0,1,1,1,0.0,1,0,Armed Assault,Business,Hotel/Resort,Egypt,Private Citizens & Property,Muslim Fundamentalists,0,0.0,Unknown,Incendiary,Unknown,Unknown,2.0,0.0,0.0,2.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1990,7,18,0,Egypt,Middle East & North Africa,Asyut,Dayrut,0,1,1,1,0.0,1,0,Assassination,Private Citizens & Property,Laborer (General)/Occupation Identified,Egypt,Unknown,Muslim Militants,0,0.0,Unknown,Melee,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1990,7,19,0,Egypt,Middle East & North Africa,Minya,Minya,0,1,1,1,0.0,1,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Unknown,0,0.0,Unknown,Melee,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1990,7,27,0,Egypt,Middle East & North Africa,Cairo,Cario,0,1,1,1,0.0,0,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Melee,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1990,7,27,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,0,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Firearms,Unknown,Unknown,0.0,0.0,0.0,2.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,July
1990,10,12,0,Egypt,Middle East & North Africa,Cairo,Cairo,0,1,1,1,0.0,1,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Egypt,Unknown,Abu Nidal Organization (ANO),0,0.0,Unknown,Firearms,Unknown,Unknown,5.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1991,5,25,0,Egypt,Middle East & North Africa,Beni Suef,Beni Suef,0,1,1,1,0.0,0,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1991,5,31,0,Egypt,Middle East & North Africa,Quena,Abnoud,0,1,1,1,0.0,1,0,Assassination,Business,Retail/Grocery/Bakery,Egypt,Unknown,Al-Gama'at al-Islamiyya (IG),0,0.0,Unknown,Melee,Melee,Blunt Object,2.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,May
1991,6,26,0,Egypt,Middle East & North Africa,Beni Suef,Beni Suef,0,1,1,1,0.0,1,0,Armed Assault,Police,Police Security Forces/Officers,Egypt,Unknown,Egyptian Islamic Jihad (Al-Jihad),0,0.0,Unknown,Firearms,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,June
1991,8,0,0,Egypt,Middle East & North Africa,Giza,Giza,0,1,1,1,0.0,0,0,Assassination,Police,Police Security Forces/Officers,Egypt,Unknown,Unknown,0,0.0,Unknown,Explosives,Unknown,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,August
1991,10,13,0,Egypt,Middle East & North Africa,Unknown,Unknown,0,1,1,1,0.0,1,0,Unknown,Business,Retail/Grocery/Bakery,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,5.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1991,10,15,0,Egypt,Middle East & North Africa,Asyut,Asyut,0,1,1,1,0.0,1,0,Assassination,Business,Retail/Grocery/Bakery,Egypt,Unknown,Muslim Fundamentalists,0,0.0,Unknown,Melee,Unknown,Unknown,1.0,0.0,0.0,0.0,0.0,0.0,0,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,October
1991,11,18,0,Egypt,Middle East & North Africa,Asyut,Baqour,0,1,1,1,0.0,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Egypt,Unknown,Islamist extremists,0,0.0,Unknown,Firearms,Incendiary,Unknown,0.0,0.0,0.0,1.0,0.0,0.0,1,Unknown,Unknown,0.0,0.0,0.0,Unknown,Unknown,0.0,November
